word,count,frequency_rank,train_count,standard_frequency_rank
拿,14,291,12,261
早晨,14,292,6,503
独一无二,14,293,14,237
由于,14,294,8,387
瞧,14,295,8,389
那样,14,296,14,242
难道,14,297,14,243
高兴,14,298,10,309
全都,13,299,12,252
嘴,13,300,4,693
想起,13,301,6,492
朵玫瑰,13,302,7,416
看上去,13,303,11,270
认识,13,304,10,303
一切,12,305,6,423
一句,12,306,10,272
一定,12,307,10,273
一点,12,308,6,429
件,12,309,2,1070
作,12,310,12,251
其中,12,311,10,281
再见,12,312,8,337
再说,12,313,8,338
别人,12,314,10,284
加,12,315,12,254
占,12,316,8,343
危险,12,317,6,451
后来,12,318,2,1222
告诉,12,319,6,458
天,12,320,9,313
好处,12,321,10,287
弄,12,322,8,357
很快,12,323,10,292
得到,12,324,12,260
心情,12,325,8,358
懂,12,326,6,494
房子,12,327,10,294
整个,12,328,8,370
星,12,329,10,295
有些,12,330,8,371
有人,12,331,6,506
服从,12,332,12,263
根本,12,333,8,373
植物,12,334,2,1637
死火山,12,335,8,375
满天,12,336,8,382
点,12,337,10,298
真是,12,338,8,388
离,12,339,8,390
离开,12,340,10,299
笑了起来,12,341,6,530
等于,12,342,10,301
等到,12,343,12,266
累,12,344,8,394
统治,12,345,12,267
罩,12,346,6,533
错,12,347,10,307
风,12,348,8,407
今天,11,349,11,269
休息,11,350,0,
只见,11,351,9,311
往,11,352,9,315
总,11,353,9,316
是从,11,354,2,1597
睡觉,11,355,6,526
一下,10,356,8,322
一块,10,357,6,426
一年,10,358,4,585
一条,10,359,10,274
一眼,10,360,8,326
中间,10,361,10,277
仔细,10,362,2,1069
似的,10,363,4,630
作品,10,364,10,279
你们好,10,365,10,280
其他,10,366,10,282
刚,10,367,8,341
发出,10,368,6,452
另,10,369,8,346
可能,10,370,8,347
吃惊,10,371,4,669
吃掉,10,372,4,670
哦,10,373,8,350
回到,10,374,4,696
坏,10,375,6,467
坐下,10,376,10,285
大象,10,377,2,1315
太小,10,378,2,1320
将军,10,379,10,289
崇拜,10,380,10,290
幅,10,381,2,1387
幼苗,10,382,2,1401
开口,10,383,6,486
心里,10,384,8,359
忧伤,10,385,4,739
忧郁,10,386,6,487
情况,10,387,4,747
挪,10,388,8,367
故事,10,389,8,368
既然,10,390,6,501
更,10,391,10,296
有点像,10,392,6,508
正是,10,393,10,297
每天,10,394,6,512
然而,10,395,8,383
熄灭,10,396,2,1718
疏通,10,397,4,817
看看,10,398,6,523
秘密,10,399,8,391
突然,10,400,8,392
站,10,401,8,393
终于,10,402,8,395
结果,10,403,4,841
老虎,10,404,10,302
而后,10,405,6,535
说话,10,406,10,304
转瞬即逝,10,407,10,305
过去,10,408,6,551
连,10,409,8,402
道,10,410,10,306
降落,10,411,4,907
随后,10,412,8,404
难过,10,413,8,405
需要,10,414,10,308
高,10,415,6,562
b612,9,416,8,321
下面,9,417,5,564
不作声,9,418,9,310
回来,9,419,7,410
大概,9,420,9,312
好比,9,421,5,567
工作,9,422,2,1378
开,9,423,9,314
想要,9,424,8,361
感觉,9,425,7,413
沉默,9,426,7,417
灯,9,427,5,572
眼睛,9,428,2,1777
起,9,429,9,318
随时,9,430,9,320
一幅,8,431,4,583
一片,8,432,8,324
一百万,8,433,8,325
一盏,8,434,4,590
一起,8,435,8,327
三座,8,436,8,329
不到,8,437,6,436
不该,8,438,8,330
