word,count,frequency_rank,train_count,standard_frequency_rank
-quatre,5,284,5,284
abord,5,285,5,285
appris,5,286,5,286
arbustes,5,287,5,287
besoin,5,288,5,288
cela,5,289,5,289
celle,5,290,5,290
cet,5,291,5,291
comment,5,292,5,292
compris,5,293,5,293
content,5,294,5,294
contre,5,295,5,295
coup,5,296,5,296
danger,5,297,5,297
dessine,5,298,5,298
dessiné,5,299,5,299
difficile,5,300,5,300
disais,5,301,5,301
enfants,5,302,5,302
entendre,5,303,5,303
faute,5,304,5,304
graines,5,305,5,305
grand,5,306,5,306
général,5,307,5,307
importe,5,308,5,308
lever,5,309,5,309
mal,5,310,5,310
mangent,5,311,5,311
mettre,5,312,5,312
milles,5,313,5,313
minute,5,314,5,314
minutes,5,315,5,315
monarque,5,316,5,316
mur,5,317,5,317
muselière,5,318,5,318
or,5,319,5,319
oublier,5,320,5,320
petites,5,321,5,321
peux,5,322,5,322
pris,5,323,5,323
quarante,5,324,5,324
quatre,5,325,5,325
regarda,5,326,5,326
rougit,5,327,5,327
répondis,5,328,5,328
seconde,5,329,5,329
serait,5,330,5,330
suffit,5,331,5,331
tant,5,332,5,332
tard,5,333,5,333
tour,5,334,5,334
utile,5,335,5,335
va,5,336,5,336
vent,5,337,5,337
veut,5,338,5,338
vite,5,339,5,339
âge,5,340,5,340
-vous,4,341,4,341
612,4,342,4,342
absurde,4,343,4,343
agit,4,344,4,344
aimé,4,345,4,345
aperçut,4,346,4,346
assis,4,347,4,347
attendre,4,348,4,348
ayant,4,349,4,349
b,4,350,4,350
beau,4,351,4,351
bonne,4,352,4,352
boulon,4,353,4,353
brusquement,4,354,4,354
cadeau,4,355,4,355
cinquante,4,356,4,356
combien,4,357,4,357
connu,4,358,4,358
corde,4,359,4,359
couleur,4,360,4,360
demande,4,361,4,361
depuis,4,362,4,362
durant,4,363,4,363
effort,4,364,4,364
emporter,4,365,4,365
enfin,4,366,4,366
eut,4,367,4,367
fermés,4,368,4,368
fier,4,369,4,369
grelots,4,370,4,370
hasard,4,371,4,371
herbe,4,372,4,372
herbes,4,373,4,373
hommes,4,374,4,374
honte,4,375,4,375
idée,4,376,4,376
jusqu,4,377,4,377
livre,4,378,4,378
lorsque,4,379,4,379
mange,4,380,4,380
marchand,4,381,4,381
mieux,4,382,4,382
mots,4,383,4,383
mélancolie,4,384,4,384
oh,4,385,4,385
ordonne,4,386,4,386
ordre,4,387,4,387
pendant,4,388,4,388
place,4,389,4,389
plaisir,4,390,4,390
planètes,4,391,4,391
poche,4,392,4,392
point,4,393,4,393
près,4,394,4,394
puisque,4,395,4,395
quelle,4,396,4,396
questions,4,397,4,397
reconnaître,4,398,4,398
répondu,4,399,4,399
réussir,4,400,4,400
savent,4,401,4,401
sentais,4,402,4,402
seras,4,403,4,403
seront,4,404,4,404
sert,4,405,4,405
su,4,406,4,406
surpris,4,407,4,407
sérieuses,4,408,4,408
taisais,4,409,4,409
tantôt,4,410,4,410
tas,4,411,4,411
tigres,4,412,4,412
tombé,4,413,4,413
venait,4,414,4,414
visite,4,415,4,415
voit,4,416,4,416
voulait,4,417,4,417
vraiment,4,418,4,418
éteint,4,419,4,419
-elle,3,420,3,420
-elles,3,421,3,421
-trois,3,422,3,422
1,3,423,3,423
aller,3,424,3,424
amusant,3,425,3,425
année,3,426,3,426
années,3,427,3,427
asseoir,3,428,3,428
assez,3,429,3,429
astronome,3,430,3,430
attacher,3,431,3,431
aussitôt,3,432,3,432
autorité,3,433,3,433
avant,3,434,3,434
baobab,3,435,3,435
belle,3,436,3,436
bonnes,3,437,3,437
brindille,3,438,3,438
bâiller,3,439,3,439
caisse,3,440,3,440
chaise,3,441,3,441
chance,3,442,3,442
changé,3,443,3,443
chaque,3,444,3,444
cherchent,3,445,3,445
comprit,3,446,3,446
connais,3,447,3,447
corps,3,448,3,448
côté,3,449,3,449
dernière,3,450,3,450
dessiner,3,451,3,451
dessinerai,3,452,3,452
dessins,3,453,3,453
devant,3,454,3,454
dites,3,455,3,455
donner,3,456,3,456
donné,3,457,3,457
douceur,3,458,3,458
doux,3,459,3,459
droit,3,460,3,460
dès,3,461,3,461
décidément,3,462,3,462
départ,3,463,3,463
endormi,3,464,3,464
enfant,3,465,3,465
exact,3,466,3,466
exemple,3,467,3,467
existe,3,468,3,468
explications,3,469,3,469
extraordinaire,3,470,3,470
faisait,3,471,3,471
fatigue,3,472,3,472
fera,3,473,3,473
font,3,474,3,474
fontaine,3,475,3,475
fragile,3,476,3,476
france,3,477,3,477
fus,3,478,3,478
gravement,3,479,3,479
griffes,3,480,3,480
grâce,3,481,3,481
géographie,3,482,3,482
hermine,3,483,3,483
heures,3,484,3,484
importance,3,485,3,485
interroger,3,486,3,486
joli,3,487,3,487
juste,3,488,3,488
justement,3,489,3,489
laisse,3,490,3,490
lentement,3,491,3,491
leurs,3,492,3,492
lourd,3,493,3,493
magnifique,3,494,3,494
mains,3,495,3,495
malheureusement,3,496,3,496
mangé,3,497,3,497
marche,3,498,3,498
marcher,3,499,3,499
marteau,3,500,3,500
mauvaises,3,501,3,501
mer,3,502,3,502
mienne,3,503,3,503
moins,3,504,3,504
mois,3,505,3,505
moteur,3,506,3,506
mourir,3,507,3,507
mystère,3,508,3,508
oiseau,3,509,3,509
ordonnais,3,510,3,510
ouverts,3,511,3,511
panne,3,512,3,512
papier,3,513,3,513
pardon,3,514,3,514
parler,3,515,3,515
petits,3,516,3,516
peuvent,3,517,3,517
plante,3,518,3,518
pleurer,3,519,3,519
posséder,3,520,3,520
posée,3,521,3,521
pourrait,3,522,3,522
pouvais,3,523,3,523
pouvait,3,524,3,524
pouvoir,3,525,3,525
préparer,3,526,3,526
pâle,3,527,3,527
quelqu,3,528,3,528
quelquefois,3,529,3,529
quitterai,3,530,3,530
raisonnable,3,531,3,531
rayonnement,3,532,3,532
regarder,3,533,3,533
reposer,3,534,3,534
représentait,3,535,3,535
ressemblait,3,536,3,536
ressemblent,3,537,3,537
